nbr,Season,Week,team,powerrank,offencescoringrank,offencepassingrank,offencerushingrank,offencetotalrank,defencescoringrank,defencepassingrank,defencerushingrank,defencetotalrank
1,2015,5,Arizona,4,1,10,3,6,5,13,11,9
2,2015,5,Atlanta,6,3,8,9,4,15,29,1,20
3,2015,5,Baltimore,19,10,17,15,12,25,25,14,24
4,2015,5,Buffalo,12,9,27,6,24,13,24,3,16
5,2015,5,Carolina,8,6,29,4,25,4,16,6,10
6,2015,5,Chicago,29,28,28,16,27,28,3,24,4
7,2015,5,Cincinnati,5,4,5,10,2,10,22,18,21
8,2015,5,Cleveland,25,13,6,28,8,22,18,31,30
9,2015,5,Dallas,13,22,16,19,17,21,19,9,14
10,2015,5,Denver,3,17,23,30,30,2,5,5,1
11,2015,5,Detroit,26,30,9,32,26,26,17,27,22
12,2015,5,Green Bay,2,5,20,8,10,3,4,28,7
13,2015,5,Houston,28,26,4,20,5,24,10,22,11
14,2015,5,Indianapolis,16,24,15,24,23,17,28,19,28
15,2015,5,Jacksonville,31,27,12,21,19,31,21,16,19
16,2015,5,Kansas City,18,15,21,18,18,29,27,13,26
17,2015,5,Miami,30,31,14,31,28,20,15,32,29
18,2015,5,Minnesota,14,23,32,2,31,6,12,26,17
19,2015,5,New England,1,2,1,23,1,8,11,20,12
20,2015,5,New Orleans,21,21,3,29,7,30,23,30,32
21,2015,5,NY Giants,15,7,7,26,9,14,32,2,27
22,2015,5,NY Jets,9,12,24,7,14,1,2,8,2
23,2015,5,Oakland,20,20,11,27,22,19,31,4,25
24,2015,5,Philadelphia,22,14,13,22,21,11,26,10,23
25,2015,5,Pittsburgh,10,11,19,13,13,7,20,15,18
26,2015,5,San Diego,17,16,2,25,3,23,9,29,15
27,2015,5,San Francisco,27,32,31,5,29,27,30,17,31
28,2015,5,Seattle,7,18,26,1,15,9,7,7,5
29,2015,5,St Louis,11,29,30,17,32,16,14,21,13
30,2015,5,Tampa Bay,32,19,25,11,20,32,6,25,8
31,2015,5,Tennessee,23,8,22,14,16,18,1,23,3
32,2015,5,Washington,24,25,18,12,11,12,8,12,6
